Problem Algorithm Time
1 A 30.3434740049166
1 A 42.2194339368853
1 A 48.6755294134644
1 A 21.2344183789652
1 A 43.4329975104884
1 A 44.0484471372606
1 A 35.4020803189228
1 A 35.6269451537265
1 A 35.4843840072537
1 A 32.8796973676472
1 A 36.1824584019716
1 A 32.0129084411224
1 A 33.7899688428961
1 A 40.5156705382102
1 A 47.6759524717662
1 A 39.1177160448738
1 A 35.9119239535469
1 A 32.7104366669615
1 A 33.3026265578485
1 A 59.3266814279147
1 A 41.0727057612162
1 A 36.0745128264725
1 A 36.4756170211742
1 A 43.6767155280468
1 A 34.4502380245002
1 A 28.4143607169082
1 A 44.5980457672058
1 A 31.810754216289
1 A 39.8788935970865
1 A 32.5124111906528
1 B 73.2275705544032
1 B 54.2928830535713
1 B 51.4867195498499
1 B 53.9849032728629
1 B 40.4508783710556
1 B 45.9885688548698
1 B 33.8395242126159
1 B 43.9080816947997
1 B 56.4684736948354
1 B 54.4092295151267
1 B 77.3939551834456
1 B 47.176287315905
1 B 49.7356243951499
1 B 56.6325239765106
1 B 48.067919084452
1 B 48.3778281855354
1 B 46.7121816882988
1 B 44.9761693723327
1 B 53.7140625721517
1 B 54.0378005127996
1 B 38.3276249183766
1 B 53.015088903728
1 B 46.6933245068786
1 B 47.8204558860959
1 B 58.0522857173182
1 B 66.7566698279342
1 B 79.7738096737807
1 B 50.7197589126757
1 B 79.2709155462876
1 B 46.1062974276671
2 A 92.3909449174358
2 A 123.300187488392
2 A 81.098913633204
2 A 70.7293181988547
2 A 81.5424556567207
2 A 110.692379319676
2 A 63.0694069664018
2 A 104.00784393058
2 A 103.382891582779
2 A 87.1623890209957
2 A 81.779249694552
2 A 74.2273439433633
2 A 75.6801090963924
2 A 92.2553472692181
2 A 115.481090735072
2 A 79.1611592630395
2 A 58.951884537209
2 A 69.8481643072008
2 A 85.8849421154083
2 A 76.4880344556337
2 A 78.7627640248165
2 A 78.8900967447092
2 A 59.2524025306807
2 A 78.8281428832374
2 A 95.5537935329908
2 A 93.0609422905815
2 A 90.649956734488
2 A 75.0887110676888
2 A 78.5373017488515
2 A 62.1560446331589
2 B 100.585770685552
2 B 106.855652020249
2 B 136.354601480548
2 B 122.030769464723
2 B 91.589803325637
2 B 108.896189372328
2 B 78.5963031148117
2 B 119.52347374803
2 B 121.449307318648
2 B 144.796047809305
2 B 110.095311865625
2 B 92.014057704903
2 B 103.008534371991
2 B 91.449618424658
2 B 84.8713620617035
2 B 105.062115354977
2 B 83.4426192663566
2 B 105.086436215667
2 B 108.884354640635
2 B 100.607195956954
2 B 97.6826627527695
2 B 88.4689150506829
2 B 79.1013996282258
2 B 118.935242120653
2 B 102.121371363546
2 B 118.566525885239
2 B 76.3661470226674
2 B 105.103537079912
2 B 115.354381574603
2 B 101.132380345547
3 A 118.612326508951
3 A 104.046302714736
3 A 174.101329031499
3 A 141.845702511177
3 A 168.330471458664
3 A 125.308137813602
3 A 107.758570625496
3 A 86.0055597058347
3 A 107.642870833235
3 A 128.915437801597
3 A 148.337695237488
3 A 129.56783666497
3 A 94.425274949919
3 A 139.828286770284
3 A 82.6308436071724
3 A 114.308977877933
3 A 115.535747888784
3 A 75.2765974994062
3 A 146.028085552309
3 A 107.969167326321
3 A 115.093762633396
3 A 157.746981349064
3 A 139.037968805627
3 A 120.658684807571
3 A 136.006148533982
3 A 133.182037912758
3 A 164.350459036617
3 A 130.138703955109
3 A 135.821391372456
3 A 131.906282050587
3 B 132.519187438439
3 B 146.131757942465
3 B 190.310679826823
3 B 118.233015739899
3 B 146.82378662771
3 B 182.381078944223
